p	rho	label	x	y	color	patient
8.38e-01	0.079	p=8.38e-01, rho=0.079	20	2.11973145962463	darkorchid1	P450
4.50e-01	0.5	p=4.50e-01, rho=0.5	20	2.26104689026627	red3	P300
3.89e-01	-0.357	p=3.89e-01, rho=-0.357	20	2.40236232090791	firebrick4	P454
7.83e-01	-0.143	p=7.83e-01, rho=-0.143	20	2.54367775154955	darkolivegreen4	P413
1.00e+00	0	p=1.00e+00, rho=0	20	2.6849931821912	darkgreen	P453
3.31e-01	0.345	p=3.31e-01, rho=0.345	20	2.82630861283284	mediumseagreen	P375
5.89e-02	-0.667	p=5.89e-02, rho=-0.667	20	2.96762404347448	chartreuse	P327
3.54e-01	0.429	p=3.54e-01, rho=0.429	20	3.10893947411612	blue	P303
